# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 29 06:38:00 2018
#
# CONSTRAINT:  where (koi_pdisposition like 'CANDIDATE'
# CONSTRAINT:  and koi_period < 16
# CONSTRAINT:  and koi_prad > 4
# CONSTRAINT:  )
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
2794,10337258,K00333.01,Kepler-527 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,13.285364520,169.8605200,0.7740,6.28300,3.7760e+02,4.03,1157.0,423.65,26.80,1,q1_q17_dr25_tce,6534.00,3.973,1.9000,290.957920,47.406281,13.390
7106,5629353,K06132.03,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,11.867172000,142.9850000,0.0010,4.81500,5.9560e+02,4.03,1058.0,296.23,13.40,3,q1_q17_dr25_tce,6264.00,4.133,1.6510,294.557890,40.850498,14.624
2368,9837661,K02715.01,Kepler-1321 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,11.128274270,139.5441700,0.5940,2.61180,6.0570e+03,4.04,408.0,6.52,65.60,1,q1_q17_dr25_tce,3640.00,4.744,0.5030,294.528590,46.640968,16.835
5093,4263529,K03358.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,10.104043510,132.8928410,0.9510,1.00220,1.3224e+03,4.05,752.0,75.32,39.50,1,q1_q17_dr25_tce,5530.00,4.541,0.8310,291.889070,39.361771,14.031
298,9334289,K00934.01,Kepler-254 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.826657508,173.0114110,0.0330,2.91830,1.5391e+03,4.09,1013.0,248.57,81.10,1,q1_q17_dr25_tce,5561.00,4.362,1.0600,288.164700,45.816509,15.843
8189,12458817,K07535.01,,CANDIDATE,CANDIDATE,,0,0,0,0,15.099842590,140.8200000,0.9711,0.22200,4.8480e+02,4.11,576.0,25.98,6.70,1,q1_q17_dr24_tce,5191.00,4.615,0.6500,290.545040,51.323620,15.370
643,3231341,K01102.01,Kepler-24 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.333438530,137.5878200,0.9790,6.22100,5.3640e+02,4.12,915.0,165.30,31.70,1,q1_q17_dr25_tce,5896.00,4.197,1.2400,290.413270,38.343750,14.925
3060,11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.213668926,123.6118780,0.0210,3.98235,7.2780e+02,4.13,1515.0,1244.44,346.90,1,q1_q17_dr25_tce,5795.00,4.101,1.5450,285.615330,50.135750,12.211
217,7434875,K00884.01,Kepler-247 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.439459486,177.1860960,0.0490,2.89790,3.0361e+03,4.16,686.0,52.32,175.20,1,q1_q17_dr25_tce,5097.00,4.597,0.7790,288.642520,43.039291,15.067
2998,10616679,K00429.01,Kepler-550 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.600099313,172.5292810,0.0480,4.00770,2.7916e+03,4.17,760.0,78.72,209.20,1,q1_q17_dr25_tce,5246.00,4.501,0.8050,297.700230,47.863750,14.486
3136,10973664,K00601.02,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,11.678942360,131.5119000,0.9400,1.26410,1.1851e+03,4.17,830.0,112.07,23.10,2,q1_q17_dr25_tce,6122.00,4.487,0.9640,290.849060,48.416012,14.697
565,9775938,K00951.01,Kepler-258 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,13.197206940,171.5454790,0.5680,3.48720,2.1414e+03,4.18,642.0,40.03,116.20,1,q1_q17_dr25_tce,4954.00,4.462,0.8850,294.068480,46.579330,15.223
739,10585852,K01314.01,Kepler-815 b,CONFIRMED,CANDIDATE,0.9970,0,0,0,0,8.575049830,140.1406300,0.1290,8.65300,1.6060e+02,4.26,1374.0,841.68,36.90,1,q1_q17_dr25_tce,4986.00,3.462,3.4640,285.221100,47.881378,13.242
1882,2853780,K02081.01,,CANDIDATE,CANDIDATE,0.8810,0,0,0,0,6.214149600,132.2518200,0.4030,10.14100,1.8340e+02,4.27,1506.0,1216.48,53.40,1,q1_q17_dr25_tce,5295.00,3.617,3.1520,291.729160,38.070019,13.439
1235,9480310,K01470.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,15.434009960,363.2949400,0.7070,4.25720,1.7859e+03,4.30,721.0,63.79,59.70,1,q1_q17_dr25_tce,5900.00,4.509,0.9510,297.352330,46.095940,15.703
1458,3248501,K02052.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,4.224642160,133.0910800,0.9130,1.40300,9.8700e+02,4.31,1279.0,631.55,7.70,1,q1_q17_dr25_tce,6343.00,4.408,1.1400,294.697720,38.364159,15.341
578,3835670,K00149.01,Kepler-473 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,14.557308970,145.0950120,0.0360,7.76430,9.5690e+02,4.32,879.0,141.00,200.00,1,q1_q17_dr25_tce,5774.00,4.159,1.4120,286.630100,38.945599,13.397
158,6022556,K00844.01,Kepler-697 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.709870784,171.9879820,0.0230,3.06940,2.0203e+03,4.35,1151.0,415.10,116.10,1,q1_q17_dr25_tce,5727.00,4.463,0.9780,283.864410,41.346458,15.581
548,8158127,K01015.01,Kepler-750 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.428898840,140.1046000,0.0110,4.44810,5.6540e+02,4.39,1163.0,432.90,50.40,1,q1_q17_dr25_tce,5897.00,3.980,1.8600,289.096890,44.004379,14.500
7704,8624860,K07072.01,,CANDIDATE,CANDIDATE,0.8720,0,0,0,0,15.390261300,140.8602000,0.2310,3.43100,7.6800e+01,4.39,1459.0,1069.24,9.40,1,q1_q17_dr25_tce,5649.00,3.282,4.9940,291.795750,44.746181,13.808
736,8454250,K01254.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,5.082722475,137.2607500,0.0190,5.91390,1.9741e+03,4.40,1059.0,296.94,95.50,1,q1_q17_dr25_tce,5780.00,4.438,1.0000,299.073880,44.431679,12.777
785,4282872,K01325.01,Kepler-818 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.035381809,137.4714810,0.0790,3.40620,2.8297e+03,4.42,786.0,90.33,150.90,1,q1_q17_dr25_tce,5813.00,4.561,0.8330,296.235110,39.370338,15.062
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.125543472,169.7525850,0.5970,3.17440,1.4873e+03,4.43,1243.0,565.35,128.60,1,q1_q17_dr25_tce,6174.00,4.417,1.1030,291.936160,49.253979,15.506
540,9595686,K00944.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,3.108251172,170.2445660,0.9000,2.50480,1.8677e+03,4.43,1096.0,340.69,156.50,1,q1_q17_dr25_tce,5330.00,4.495,0.8470,294.799740,46.207569,15.361
970,11026304,K01420.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,13.351512480,363.0867420,0.5730,3.60450,3.3088e+03,4.44,585.0,27.77,107.90,1,q1_q17_dr25_tce,4843.00,4.562,0.7540,290.112700,48.577782,15.825
4486,5651829,K04778.01,,CANDIDATE,CANDIDATE,0.9650,0,0,0,0,0.772152075,132.2074000,1.0090,1.78000,4.3600e+01,4.44,2966.0,18277.60,13.60,1,q1_q17_dr25_tce,5951.00,3.787,2.0800,299.465240,40.891090,13.308
7068,10200627,K06217.01,,CANDIDATE,CANDIDATE,0.9560,0,0,0,0,7.701669400,134.2294000,0.0100,10.89800,1.5570e+02,4.44,1627.0,1656.27,17.80,1,q1_q17_dr25_tce,5174.00,3.228,3.6080,288.795530,47.203651,15.268
3071,12470954,K00439.01,Kepler-554 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.902208647,170.4496570,0.1160,2.19877,2.3435e+03,4.45,1346.0,778.26,363.20,1,q1_q17_dr25_tce,5400.00,4.463,0.9370,296.406860,51.358150,14.313
3077,4454752,K00496.01,Kepler-578 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.616883373,169.8039600,0.8560,1.63250,4.3730e+02,4.47,1774.0,2342.49,43.90,1,q1_q17_dr25_tce,4868.00,3.902,1.8160,288.754940,39.563648,14.411
3024,10937029,K00433.01,Kepler-553 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.030466786,171.0923080,0.0330,2.77340,2.9083e+03,4.48,970.0,209.11,227.40,2,q1_q17_dr25_tce,5234.00,4.542,0.8540,298.550840,48.332451,14.924
247,7938496,K00900.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,13.810203180,172.3353300,0.7910,3.04800,1.3097e+03,4.56,833.0,113.75,46.20,1,q1_q17_dr25_tce,5942.00,4.327,1.1420,281.960630,43.703110,15.425
517,9480189,K00941.01,Kepler-257 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.581477136,174.7878140,0.1370,3.08960,2.3189e+03,4.56,881.0,142.63,116.20,1,q1_q17_dr25_tce,5188.00,4.400,0.9730,297.315980,46.023258,15.471
1940,6383785,K00239.01,Kepler-501 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.640676975,138.5562590,0.0330,2.83540,1.4533e+03,4.59,1125.0,379.36,145.90,1,q1_q17_dr25_tce,5794.00,4.282,1.2160,297.201540,41.730209,14.762
3264,9844088,K00470.01,Kepler-564 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.750832927,171.1516960,0.0010,1.94570,2.3979e+03,4.61,1129.0,383.77,212.50,1,q1_q17_dr25_tce,5776.00,4.512,0.9500,296.838380,46.626400,14.749
2940,8162789,K00521.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,10.161023528,172.0007360,0.7160,3.16270,1.6539e+03,4.62,904.0,157.97,111.10,1,q1_q17_dr25_tce,6032.00,4.387,1.0600,290.735170,44.091320,14.633
1179,7869917,K01525.01,Kepler-880 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.714676860,133.5563500,0.8990,4.58710,2.3390e+02,4.65,1622.0,1636.72,33.30,1,q1_q17_dr25_tce,6900.00,3.843,2.5990,281.971250,43.672771,12.082
606,9820483,K00953.01,Kepler-740 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.584101048,170.4278290,0.0450,2.73160,2.6081e+03,4.66,1131.0,386.66,166.30,1,q1_q17_dr25_tce,5739.00,4.518,0.9220,286.482270,46.692451,15.954
1421,7765528,K01840.01,Kepler-972 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.039329130,133.8543300,0.9560,3.51400,8.3670e+02,4.67,1060.0,298.33,48.60,1,q1_q17_dr25_tce,5846.00,4.278,1.2400,295.828700,43.425491,14.915
3553,10002866,K00723.03,Kepler-222 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.088810660,173.0833530,0.9210,1.77260,1.9959e+03,4.71,734.0,68.62,51.40,1,q1_q17_dr25_tce,5431.00,4.563,0.8430,287.906100,46.937771,15.063
1983,4349452,K00244.01,Kepler-25 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.720370263,178.5282970,0.7870,2.73060,1.1801e+03,4.75,934.0,180.23,485.50,1,q1_q17_dr25_tce,6267.00,4.280,1.2580,286.638400,39.487881,10.734
7229,7908367,K06166.02,Kepler-1642 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.651318900,135.2890000,0.0640,2.13500,1.0584e+03,4.81,1095.0,340.06,15.30,1,q1_q17_dr25_tce,5254.00,4.050,1.5140,297.212160,43.643719,14.130
1260,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,0.9130,0,0,0,0,4.887803076,124.8130808,0.0540,2.36255,4.3158e+03,4.82,800.0,96.67,862.30,1,q1_q17_dr25_tce,4778.00,4.591,0.7630,297.709350,48.080853,9.174
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.275040844,169.9942170,0.5470,7.53770,3.0010e+03,4.86,833.0,113.64,312.10,1,q1_q17_dr25_tce,5485.00,4.556,0.8670,295.455290,50.494560,15.080
230,8013419,K00901.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,12.732624065,176.9390540,0.8110,2.20830,6.4657e+03,4.87,432.0,8.22,210.50,1,q1_q17_dr25_tce,3950.00,4.721,0.5410,285.167480,43.876339,15.750
