# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 29 07:22:27 2018
#
# CONSTRAINT:  where (epic_name like '%EPIC%'
# CONSTRAINT:  and k2c_refdisp not like 'false positive'
# CONSTRAINT:  and k2c_recentflag = 1
# CONSTRAINT:  and pl_orbper < 16
# CONSTRAINT:  and pl_rade > 4
# CONSTRAINT:  )
# CONSTRAINT:  order by epic_name asc
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_ratdor,pl_ratror,pl_rade,st_rad,st_kep,st_k2
3,EPIC 201126503,EPIC 201126503.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h43m45.22s,175.938416,-05d52m22.8s,-5.873002,1.19474880,2456810.382000,,0.06005,4.190,0.57,17.275,14.230
4,EPIC 201127519,EPIC 201127519.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,1,12h05m29.30s,181.372070,-05d50m53.1s,-5.848084,6.17836900,2457585.551310,17.277258,0.11511,9.913,0.79,11.558,9.430
11,EPIC 201182911,EPIC 201182911.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h30m50.50s,172.710419,-04d30m27.4s,-4.507613,0.99656225,2456811.090000,,0.62560,32.800,0.50,15.516,12.335
15,EPIC 201205469,EPIC 201205469.01,K2-43 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,1,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,3.47134000,2456809.881000,13.510000,0.07400,4.760,,14.887,11.577
24,EPIC 201231064,EPIC 201231064.01,K2-161 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,12h15m10.52s,183.793839,-03d29m44.2s,-3.495612,9.28318800,2457587.847550,10.790043,0.02184,6.117,2.57,12.358,10.261
52,EPIC 201345483,EPIC 201345483.01,K2-45 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,1,11h18m31.89s,169.632874,-01d46m26.9s,-1.774130,1.72926000,2456809.526000,8.070000,0.14000,10.440,,15.319,12.756
76,EPIC 201407812,EPIC 201407812.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h36m10.59s,174.044144,-00d50m26.5s,-0.840699,2.82681210,2456812.488000,,0.45600,40.100,0.98,11.858,10.399
94,EPIC 201488365,EPIC 201488365.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h12m45.10s,168.187897,+00d20m52.8s,0.348009,3.36431150,2456812.224000,,0.62480,85.600,1.32,8.814,7.211
107,EPIC 201505350,EPIC 201505350.01,K2-19 c,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,1,1,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,11.90762500,2456817.275140,23.426382,0.04455,4.052,0.83,12.806,11.161
108,EPIC 201505350,EPIC 201505350.02,K2-19 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,1,1,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,7.91949300,2456813.383340,19.554603,0.07423,6.751,0.83,12.806,11.161
