KIC,Period,Perr,Radius,84% CI,16% CI,Status,Score,Prot,Significance,B-V,Age,Mcquillan Prot
9334289,5.826657508,6.43E-06,4.09,0.6,0.49,CONFIRMED,1,12.93,0.011,0.84,937.54,24.523
11853905,3.213668926,1.09E-06,4.13,0.26,0.23,CONFIRMED,1,0.99,0,0.71,11.15,
7434875,9.439459486,4.99E-06,4.16,0.5,0.28,CONFIRMED,1,35.15,0.06,0.99,4868.67,33.838
10616679,8.600099313,5.05E-06,4.17,0.53,0.49,CONFIRMED,1,22.6,0.375,0.94,2291.71,22.786
10585852,8.57504983,5.68E-05,4.26,0.25,0.41,CONFIRMED,0.997,0.41,0.001,0.98,1.49,
2853780,6.2141496,3.05E-05,4.27,1.26,2.95,CANDIDATE,0.881,0.51,0.001,1.06,2.06,
3248501,4.22464216,3.15E-05,4.31,1.43,0.47,CANDIDATE,1,4.18,1.328,0.79,130.06,4.154
6022556,3.709870784,3.04E-06,4.35,0.64,0.28,CONFIRMED,1,0.35,0.023,0.79,1.43,
8158127,9.42889884,2.35E-05,4.39,0.61,1.13,CONFIRMED,1,0.33,0.002,0.68,1.62,
8454250,5.082722475,8.27E-06,4.4,0,0,CANDIDATE,1,1.98,0.056,2,14.31,
11403044,4.125543472,3.13E-06,4.43,1.44,0.51,CONFIRMED,1,0.33,0.002,0.78,1.31,
9595686,3.108251172,1.59E-06,4.43,0.74,0.49,CANDIDATE,1,0.26,0.003,0.96,0.67,
5651829,0.772152075,3.07E-06,4.44,1.45,2.68,CANDIDATE,0.965,1.69,0.001,0.85,22.96,
10200627,7.7016694,0.0001417,4.44,0.47,0.16,CANDIDATE,0.956,0.56,0.003,1.02,2.52,
12470954,1.902208647,4.14E-07,4.45,0.53,0.33,CONFIRMED,1,37.41,0.005,0.82,6712.47,
4454752,1.616883373,2.28E-06,4.47,1.01,2.18,CONFIRMED,1,14.9,12.572,0.94,1075.75,14.889
10937029,4.030466786,1.57E-06,4.48,0.42,0.21,CONFIRMED,1,0.42,0.018,0.98,1.55,
9480189,6.581477136,5.49E-06,4.56,1.56,0.72,CONFIRMED,1,21.33,5.482,1.11,1739.71,21.679
6383785,5.640676975,3.73E-06,4.59,0.76,0.69,CONFIRMED,1,0.6,0.005,0.84,3.58,
9844088,3.750832927,1.22E-06,4.61,1.33,0.42,CONFIRMED,1,18.99,0.257,0.83,1913.23,18.987
7869917,7.71467686,2.91E-05,4.65,0.93,1.52,CONFIRMED,1,1.84,0.001,0.52,72.36,
9820483,3.584101048,1.92E-06,4.66,1.34,0.44,CONFIRMED,1,0.26,0.009,0.94,0.68,
7765528,7.03932913,1.75E-05,4.67,0.8,0.73,CONFIRMED,1,5.59,2.641,0.82,211.76,5.59
7908367,6.6513189,0.0006042,4.81,1.98,2.18,CONFIRMED,1,13.85,0.033,1.02,862.25,
10748390,4.887803076,4.66E-07,4.82,0.17,0.18,CONFIRMED,0.913,29.31,2.035,2,1921.1,29.472
12020329,7.275040844,4.68E-06,4.86,1.05,0.37,CONFIRMED,1,40.98,0.056,0.89,7157.74,41.148
8644288,7.641567589,1.77E-06,4.91,0.3,0.33,CONFIRMED,1,34.8,0.002,0.85,5593.08,
1873513,3.290304098,4.43E-06,4.91,0.41,0.11,CONFIRMED,0.998,0.41,0.129,1.35,1.11,
11187436,5.90741476,3.94E-05,5.1,0.45,0.51,CONFIRMED,1,4.6,105.336,1.01,117.5,
